 0.579813
 0.684551
 0.790229
 0.89785
 1.006856
 1.111377
 1.216882
 1.318297
 1.420587
 1.526424
 1.627689
0.05 1.738158
0.05 1.841142
0.05 1.950611
0.05 2.052633
0.05 2.164642
0.05 2.268947
0.05 2.376986
0.05 2.483464
0.05 2.584883
0.05 2.690366
0.05 2.791253
0.05 2.895599
0.05 3.007909
0.05 3.109026
0.05 3.211979
0.05 3.317187
0.05 3.428515
0.05 3.529246
0.05 3.632384
0.06 3.735608
0.06 3.840981
0.06 3.94431
0.06 4.047394
0.06 4.153079
0.06 4.254928
0.06 4.364301
0.06 4.467201
0.06 4.56965
0.06 4.678401
0.05 4.780149
0.05 4.884675
0.05 4.989221
0.05 5.093505
0.05 5.195959
0.05 5.307174
0.05 5.408919
0.05 5.516273
0.05 5.619028
0.05 5.72356
0.05 5.831929
0.05 5.936732
0.05 6.039378
0.05 6.140738
0.05 6.244218
0.05 6.347593
0.05 6.451751
0.05 6.555078
0.05 6.664065
0.05 6.774413
